word,level
bicycle,A1
bidding,B2
bike,A1
bikini,B2
bilingual,B1
bill,B2
billiards,C1
billion,B2
bind,B2
biochemistry,B1
biography,B1
biological,B2
biology,B1
biotechnology,B2
bird,A1
birdcage,B2
birth,A1
birthday,A1
birthplace,B2
biscuit,A1
bishop,B1
bite,A2
bitter,B2
bitterly,B2
bizarre,B2
black,A1
blackboard,A2
blade,B2
blame,B2
blandishment,C2
blank,A1
blanket,B2
blankness,C1
blast,B2
blaze,B2
bleed,B1
blend,B2
bless,B1
blessing,B1
blight,C2
blind,B2
blindly,B2
blindness,B2
blink,B2
bliss,C1
blister,C1
blithely,C1
blitz,C2
block,A1
blockbuster,C1
blog,B1
blogger,B1
blonde,A2
blood,A2
bloodstream,B2
bloody,B2
bloom,A2
blooming,B2
blossom,B2
blow,B2
blubber,C2
blubbery,C2
blue,A1
blur,B2
blurb,C2
blurt,B2
blush,B1
board,A1
boast,B1
boat,A1
body,A1
bogus,C2
boil,A2
boiled,A2
boiling,B2
bold,B2
boldly,B1
bolt,B2
bomb,B1
bombard,B2
bomber,B2
bombing,B2
bond,B2
bone,A1
bonus,A2
bony,B2
book,A1
bookcase,A2
booking,B1
bookish,B2
booklet,B2
bookmark,B2
bookshelf,A2
bookshop,A2
bookstore,A1
boom,B1
boost,B2
boot,B1
booth,B2
border,B2
bore,B1
bored,A2
boredom,B1
boring,A1
borrow,A1
boss,A2
bossy,B2
botany,B2
both,A1
bother,B1
bothered,B2
bothersome,B2
bottle,A1
bottom,A1
bounce,B2
bound,B2
bouquet,C1
bourbon,B2
bout,C2
bowl,A1
boxer,B2
boxing,B1
boyfriend,A1
bracelet,B1
bracket,B2
brag,B2
brain,A1
brainstorm,A2
brainstorming,B1
brainwash,C1
brainwashing,C1
brake,A2
branch,A2
brand,A2
brandish,C2
brass,B1
brave,A2
bravely,B1
bravery,B2
bread,A1
breadwinner,C2
break,A2
breakable,B2
breakdown,B2
breakfast,A1
breakthrough,B1
breakup,B2
breast,B2
breath,B1
breathe,A1
breathless,B1
breathtaking,B2
breed,B2
breeding,B1
breeze,A2
breezy,B2
brevity,C2
brewery,B2
bribe,C1
bribery,C1
brick,B2
bride,A2
bridge,A1
brief,B2
briefly,B2
bright,A1
brightly,B1
brilliant,A2
brilliantly,B2
brim,C2
brimstone,C2
bring,A1
brink,C2
broad,B2
broadband,B2
broadcast,B2
broadcaster,B2
broaden,B2
broadly,B2
broccoli,B1
brochure,B2
broken,A1
bronze,B1
brood,C2
brother,A1
brotherhood,B1
brouhaha,C2
brown,A1
browse,B2
browser,B2
bruise,B2
brush,A1
bubble,B1
bubbly,C1
buccaneer,C2
buck,B2
bucket,A1
buddy,B1
budget,B2
buffer,C1
buffoon,C1
buffoonery,C2
build,A1
builder,B1
building,A1
bulb,A2
bulimia,B2
bulk,C1
bulky,C1
bull,B1
bullet,B2
bulletin,B1
bully,B2
bump,B1
bumper,B2
bunch,B2
burden,B1
burdensome,B2
bureau,B1
bureaucracy,B2
bureaucratic,C1
bureaucratically,C1
burgeoning,C2
burger,A1
burglar,B1
burglary,B2
burgle,B2
burial,B2
burn,B2
burning,B1
burst,B1
bury,A2
bush,B2
business,A1
businessman,A2
businesswoman,A2
bust,B1
bustle,B2
bustling,B2
busy,A1
butcher,B1
butter,A1
butterfly,A1
button,A1
buyer,B1
buzz,B2
buzzard,C2
buzzer,C1
bypass,C1
cabbage,B1
cabin,B2
cabinet,B2
cable,B2
cafeteria,A2
caffeinate,C2
cage,B1
cake,A1
calamitous,C2
calamitously,C2
calamity,C2
calculate,B2
calculation,B1
calculator,B1
calendar,A2
calf,B1
call,A1
caller,B1
callous,C2
callously,C2
calm,B1
calmly,B2
calmness,B1
calorie,C1
calorific,C2
camel,B1
camera,A1
camp,A1
campaign,B2
camping,A2
campsite,B1
campus,A2
canal,B2
cancel,B2
cancer,B2
candid,C1
candidate,B2
candidly,C1
candle,B2
candy,A1
cane,B2
canned,B1
cannonball,B2
canoe,C1
canon,B2
canteen,B1
capability,B2
capable,B2
capacious,C2
capacity,B2
capital,A2
capsule,B1
captain,A2
caption,B2
captive,B2
capture,B2
caravan,B2
carbon,B2
card,A1
cardboard,B2
cardigan,B2
care,A1
career,B1
carefree,B2
careful,A1
carefully,A1
careless,B1
carelessly,B1
carelessness,B1
caring,B2
carnival,B2
carpenter,C1
carpentry,C1
carpet,B1
carpool,B2
carriage,B1
carrier,C1
carrot,A2
carry,A1
carton,B1
cartoon,A1
carve,B2
cascade,B2
case,A1
cash,A2
cashpoint,B1
cassette,A2
cast,B2
castle,B2
casual,B2
casually,B2
catalyst,B2
catastrophe,B2
catastrophic,B2
catastrophically,C2
catch,B2
catchy,B2
category,B1
catering,B2
cathedral,B2
cattle,B1
cause,B2
caution,B1
cautious,B1
cave,B2
cavity,C1
cease,B2
ceaseless,C1
ceaselessly,C1
ceiling,B2
celebrate,A1
celebration,A1
celebrity,B1
cell,B2
cellar,B2
cellist,B2
cello,B2
cemetery,B2
cent,A2
centigrade,B2
central,B1
century,A2
cereal,A2
ceremony,B1
certain,A2
certainly,A2
certainty,B2
certificate,B2
certification,B2
certify,B2
cessation,C1
chain,B2
chair,B2
chairman,B2
challenge,B2
challenging,B2
champagne,A2
champion,B1
championship,B2
chance,A2
chancellor,B2
change,A1
channel,B1
chaos,B1
chaotic,B2
chaotically,C1
chapter,A2
character,A1
characteristic,B2
charge,B1
chariot,B1
charity,B1
charm,B1
charming,B2
chart,B2
